candidate,office,district,party,county,precinct,votes
Denzil W. Sloan ,House of Delegates,5,,Monongalia,Precinct 10,
Jeff Tansill,House of Delegates,49,,Monongalia,Precinct 10,
Mike Manypenny,House of Delegates,49,,Monongalia,Precinct 10,
Amanda Pasdon,House of Delegates,51,,Monongalia,Precinct 10,86
Jay Redmond,House of Delegates,51,,Monongalia,Precinct 10,79
Cindy Frich ,House of Delegates,51,,Monongalia,Precinct 10,89
John P. Woods,House of Delegates,51,,Monongalia,Precinct 10,81
Kevin Scott Poe,House of Delegates,51,,Monongalia,Precinct 10,81
Billy Smerka Jr. ,House of Delegates,51,,Monongalia,Precinct 10,127
Nancy Jamison,House of Delegates,51,,Monongalia,Precinct 10,126
Charlene Marshall ,House of Delegates,51,,Monongalia,Precinct 10,153
Barbara Evans Fleischauer,House of Delegates,51,,Monongalia,Precinct 10,143
"Anthony P. ""Tony"" Barill ",House of Delegates,51,,Monongalia,Precinct 10,137
Harry V. Bertram,House of Delegates,51,,Monongalia,Precinct 10,11
,Registered Voters,,,Monongalia,Precinct 13,836
,Ballots Cast,,,Monongalia,Precinct 13,240
,Straight Party,,REP,Monongalia,Precinct 13,27
,Straight Party,,DEM,Monongalia,Precinct 13,47
,Straight Party,,MTN,Monongalia,Precinct 13,2
,Straight Party,,LIBER,Monongalia,Precinct 13,4
Mitt Romney ,President ,,,Monongalia,Precinct 13,86
Barack Obama,President ,,,Monongalia,Precinct 13,140
Jill Stein,President ,,,Monongalia,Precinct 13,3
Gary Johnson,President ,,,Monongalia,Precinct 13,7
Randall Terry,President ,,,Monongalia,Precinct 13,0
John R. Raese,U.S. Senate,,,Monongalia,Precinct 13,75
Joe Manchin III,U.S. Senate,,,Monongalia,Precinct 13,140
Bob Henry Baber,U.S. Senate,,,Monongalia,Precinct 13,12
David B McKinley ,U.S. House,1,,Monongalia,Precinct 13,83
Sue Thorn,U.S. House,1,,Monongalia,Precinct 13,130
Bill Maloney,Governor,,,Monongalia,Precinct 13,74
Earl Ray Tomblin,Governor,,,Monongalia,Precinct 13,135
Jesse Johnson,Governor,,,Monongalia,Precinct 13,13
David Moran ,Governor,,,Monongalia,Precinct 13,6
Brian Savilla,Secretary of State,,,Monongalia,Precinct 13,60
Natalie E. Tennant,Secretary of State,,,Monongalia,Precinct 13,161
Larry V. Faircloth,Auditor,,,Monongalia,Precinct 13,66
Glen B. Gainer III,Auditor,,,Monongalia,Precinct 13,137
Mike Hall,Treasurer,,,Monongalia,Precinct 13,63
John D. Perdue,Treasurer,,,Monongalia,Precinct 13,147
Kent Leonhardt ,Commissioner of Agriculture,,,Monongalia,Precinct 13,80
Walt Helmick,Commissioner of Agriculture,,,Monongalia,Precinct 13,125
Patrick Morrisey,Attorney General,,,Monongalia,Precinct 13,77
"Darrell V. McGraw, Jr. ",Attorney General,,,Monongalia,Precinct 13,133
Jeffrey V. Kessler,State Senate,2,,Monongalia,Precinct 13,
Casey Mayer,State Senate,13,,Monongalia,Precinct 13,69
"Roman W. Prezioso, Jr. ",State Senate,13,,Monongalia,Precinct 13,140
Bob Williams,State Senate,14,,Monongalia,Precinct 13,
Dave Pethtel,House of Delegates,5,,Monongalia,Precinct 13,
Raymond V. Davis III,House of Delegates,5,,Monongalia,Precinct 13,
Denzil W. Sloan ,House of Delegates,5,,Monongalia,Precinct 13,
Jeff Tansill,House of Delegates,49,,Monongalia,Precinct 13,
Mike Manypenny,House of Delegates,49,,Monongalia,Precinct 13,
Amanda Pasdon,House of Delegates,51,,Monongalia,Precinct 13,72
Jay Redmond,House of Delegates,51,,Monongalia,Precinct 13,62
Cindy Frich ,House of Delegates,51,,Monongalia,Precinct 13,80
John P. Woods,House of Delegates,51,,Monongalia,Precinct 13,57
Kevin Scott Poe,House of Delegates,51,,Monongalia,Precinct 13,57
Billy Smerka Jr. ,House of Delegates,51,,Monongalia,Precinct 13,96
Nancy Jamison,House of Delegates,51,,Monongalia,Precinct 13,103
Charlene Marshall ,House of Delegates,51,,Monongalia,Precinct 13,125
Barbara Evans Fleischauer,House of Delegates,51,,Monongalia,Precinct 13,119
"Anthony P. ""Tony"" Barill ",House of Delegates,51,,Monongalia,Precinct 13,130
Harry V. Bertram,House of Delegates,51,,Monongalia,Precinct 13,9
,Registered Voters,,,Monongalia,Precinct 14,1323
,Ballots Cast,,,Monongalia,Precinct 14,399
,Straight Party,,REP,Monongalia,Precinct 14,44
,Straight Party,,DEM,Monongalia,Precinct 14,60
,Straight Party,,MTN,Monongalia,Precinct 14,0
,Straight Party,,LIBER,Monongalia,Precinct 14,3
Mitt Romney ,President ,,,Monongalia,Precinct 14,148
Barack Obama,President ,,,Monongalia,Precinct 14,233
Jill Stein,President ,,,Monongalia,Precinct 14,6
Gary Johnson,President ,,,Monongalia,Precinct 14,8
Randall Terry,President ,,,Monongalia,Precinct 14,1
John R. Raese,U.S. Senate,,,Monongalia,Precinct 14,126
Joe Manchin III,U.S. Senate,,,Monongalia,Precinct 14,236
Bob Henry Baber,U.S. Senate,,,Monongalia,Precinct 14,20
David B McKinley ,U.S. House,1,,Monongalia,Precinct 14,145
Sue Thorn,U.S. House,1,,Monongalia,Precinct 14,227
Bill Maloney,Governor,,,Monongalia,Precinct 14,144
Earl Ray Tomblin,Governor,,,Monongalia,Precinct 14,215
Jesse Johnson,Governor,,,Monongalia,Precinct 14,17
David Moran ,Governor,,,Monongalia,Precinct 14,13
Brian Savilla,Secretary of State,,,Monongalia,Precinct 14,100
Natalie E. Tennant,Secretary of State,,,Monongalia,Precinct 14,274
Larry V. Faircloth,Auditor,,,Monongalia,Precinct 14,118
Glen B. Gainer III,Auditor,,,Monongalia,Precinct 14,234
Mike Hall,Treasurer,,,Monongalia,Precinct 14,116
John D. Perdue,Treasurer,,,Monongalia,Precinct 14,248
Kent Leonhardt ,Commissioner of Agriculture,,,Monongalia,Precinct 14,156
Walt Helmick,Commissioner of Agriculture,,,Monongalia,Precinct 14,204
Patrick Morrisey,Attorney General,,,Monongalia,Precinct 14,135
