candidate,office,district,party,county,precinct,total votes,early voting,election day
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 23B,107,39,68
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 23B,109,37,72
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 23B,6,1,5
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 23B,126,45,81
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 23B,2,1,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 23B,2,1,1
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 23B,3,2,1
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 23B,108,41,67
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 23B,123,45,78
"Richard ""Rick"" Shuman II",House of Delegates,65,DEM,Jefferson,Precinct 23B,31,11,20
Tiffany Lawrence,House of Delegates,65,DEM,Jefferson,Precinct 23B,111,40,71
Ron Paul,President,,REP,Jefferson,Precinct 23B,13,3,10
Newt Gingrich,President,,REP,Jefferson,Precinct 23B,4,2,2
Mitt Romney,President,,REP,Jefferson,Precinct 23B,73,34,39
Rick Santorum,President,,REP,Jefferson,Precinct 23B,9,6,3
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 23B,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 23B,75,35,40
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 23B,3,1,2
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 23B,66,31,35
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 23B,28,11,17
Ralph William Clark,Governor,,REP,Jefferson,Precinct 23B,14,8,6
Bill Maloney,Governor,,REP,Jefferson,Precinct 23B,73,33,40
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 23B,64,32,32
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 23B,67,32,35
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 23B,38,20,18
Mike Hall,Treasurer,,REP,Jefferson,Precinct 23B,27,12,15
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 23B,77,36,41
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 23B,79,38,41
Jill Upson,House of Delegates,65,REP,Jefferson,Precinct 23B,79,36,43
Keith Judd,President,,DEM,Jefferson,Precinct 24,4,0,4
Barack Obama,President,,DEM,Jefferson,Precinct 24,41,5,36
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 24,6,0,6
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 24,36,6,30
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 24,3,0,3
William McCann,U.S. House,2,DEM,Jefferson,Precinct 24,33,5,28
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 24,5,1,4
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 24,37,5,32
Arne Moltis,Governor,,DEM,Jefferson,Precinct 24,5,1,4
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 24,38,6,32
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 24,38,6,32
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 24,39,6,33
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 24,2,0,2
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 24,37,5,32
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 24,1,0,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 24,2,0,2
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 24,1,1,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 24,40,6,34
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 24,37,6,31
"Richard ""Rick"" Shuman II",House of Delegates,65,DEM,Jefferson,Precinct 24,6,1,5
Tiffany Lawrence,House of Delegates,65,DEM,Jefferson,Precinct 24,39,5,34
Ron Paul,President,,REP,Jefferson,Precinct 24,9,4,5
Newt Gingrich,President,,REP,Jefferson,Precinct 24,1,1,0
Mitt Romney,President,,REP,Jefferson,Precinct 24,32,9,23
Rick Santorum,President,,REP,Jefferson,Precinct 24,5,1,4
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 24,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 24,38,12,26
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 24,5,3,2
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 24,24,9,15
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 24,16,3,13
Ralph William Clark,Governor,,REP,Jefferson,Precinct 24,13,2,11
Bill Maloney,Governor,,REP,Jefferson,Precinct 24,30,13,17
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 24,35,11,24
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 24,37,13,24
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 24,30,13,17
Mike Hall,Treasurer,,REP,Jefferson,Precinct 24,11,2,9
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 24,39,13,26
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 24,35,12,23
Jill Upson,House of Delegates,65,REP,Jefferson,Precinct 24,39,14,25
Keith Judd,President,,DEM,Jefferson,Precinct 25A,36,10,26
Barack Obama,President,,DEM,Jefferson,Precinct 25A,39,8,31
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 25A,20,6,14
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 25A,65,16,49
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 25A,7,2,5
William McCann,U.S. House,2,DEM,Jefferson,Precinct 25A,62,14,48
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 25A,3,1,2
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 25A,64,13,51
Arne Moltis,Governor,,DEM,Jefferson,Precinct 25A,20,8,12
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 25A,65,15,50
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 25A,60,15,45
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 25A,64,14,50
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 25A,6,3,3
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 25A,75,18,57
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 25A,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 25A,6,1,5
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 25A,0,0,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 25A,62,14,48
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 25A,68,17,51
John Reese Maxey,House of Delegates,66,DEM,Jefferson,Precinct 25A,62,16,46
Ron Paul,President,,REP,Jefferson,Precinct 25A,8,3,5
Newt Gingrich,President,,REP,Jefferson,Precinct 25A,9,2,7
Mitt Romney,President,,REP,Jefferson,Precinct 25A,68,12,56
Rick Santorum,President,,REP,Jefferson,Precinct 25A,9,1,8
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 25A,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 25A,83,16,67
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 25A,2,0,2
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 25A,65,13,52
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 25A,27,7,20
Ralph William Clark,Governor,,REP,Jefferson,Precinct 25A,19,5,14
Bill Maloney,Governor,,REP,Jefferson,Precinct 25A,65,12,53
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 25A,72,13,59
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 25A,76,14,62
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 25A,42,8,34
Mike Hall,Treasurer,,REP,Jefferson,Precinct 25A,32,5,27
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 25A,82,16,66
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 25A,82,16,66
Paul Espinosa,House of Delegates,66,REP,Jefferson,Precinct 25A,84,17,67
Keith Judd,President,,DEM,Jefferson,Precinct 25B,26,5,21
Barack Obama,President,,DEM,Jefferson,Precinct 25B,51,9,42
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 25B,23,2,21
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 25B,74,21,53
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 25B,7,1,6
William McCann,U.S. House,2,DEM,Jefferson,Precinct 25B,75,20,55
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 25B,2,0,2
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 25B,79,21,58
Arne Moltis,Governor,,DEM,Jefferson,Precinct 25B,15,2,13
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 25B,85,19,66
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 25B,77,16,61
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 25B,83,19,64
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 25B,2,2,0
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 25B,92,18,74
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 25B,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 25B,5,3,2
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 25B,0,0,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 25B,81,20,61
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 25B,88,22,66
John Reese Maxey,House of Delegates,66,DEM,Jefferson,Precinct 25B,74,20,54
Ron Paul,President,,REP,Jefferson,Precinct 25B,13,3,10
Newt Gingrich,President,,REP,Jefferson,Precinct 25B,0,0,0
Mitt Romney,President,,REP,Jefferson,Precinct 25B,38,10,28
Rick Santorum,President,,REP,Jefferson,Precinct 25B,5,1,4
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 25B,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 25B,48,11,37
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 25B,2,1,1
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 25B,27,9,18
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 25B,24,2,22
Ralph William Clark,Governor,,REP,Jefferson,Precinct 25B,13,1,12
Bill Maloney,Governor,,REP,Jefferson,Precinct 25B,36,10,26
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 25B,41,8,33
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 25B,44,8,36
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 25B,25,4,21
Mike Hall,Treasurer,,REP,Jefferson,Precinct 25B,18,4,14
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 25B,48,11,37
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 25B,45,9,36
Paul Espinosa,House of Delegates,66,REP,Jefferson,Precinct 25B,43,9,34
Keith Judd,President,,DEM,Jefferson,Precinct 26,59,13,46
Barack Obama,President,,DEM,Jefferson,Precinct 26,95,25,70
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 26,35,8,27
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 26,142,30,112
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 26,16,9,7
William McCann,U.S. House,2,DEM,Jefferson,Precinct 26,138,28,110
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 26,5,1,4
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 26,138,31,107
Arne Moltis,Governor,,DEM,Jefferson,Precinct 26,31,7,24
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 26,134,33,101
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 26,132,31,101
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 26,139,33,106
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 26,14,4,10
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 26,161,37,124
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 26,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 26,4,0,4
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 26,6,0,6
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 26,132,33,99
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 26,158,36,122
John Reese Maxey,House of Delegates,66,DEM,Jefferson,Precinct 26,135,29,106
Ron Paul,President,,REP,Jefferson,Precinct 26,22,8,14
Newt Gingrich,President,,REP,Jefferson,Precinct 26,10,3,7
Mitt Romney,President,,REP,Jefferson,Precinct 26,95,19,76
Rick Santorum,President,,REP,Jefferson,Precinct 26,17,4,13
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 26,2,0,2
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 26,115,23,92
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 26,3,1,2
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 26,90,19,71
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 26,48,11,37
Ralph William Clark,Governor,,REP,Jefferson,Precinct 26,27,2,25
Bill Maloney,Governor,,REP,Jefferson,Precinct 26,99,26,73
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 26,94,18,76
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 26,110,21,89
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 26,65,10,55
Mike Hall,Treasurer,,REP,Jefferson,Precinct 26,33,12,21
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 26,113,23,90
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 26,110,26,84
Paul Espinosa,House of Delegates,66,REP,Jefferson,Precinct 26,119,29,90
Keith Judd,President,,DEM,Jefferson,Precinct 27,19,0,19
Barack Obama,President,,DEM,Jefferson,Precinct 27,62,13,49
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 27,20,3,17
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 27,72,14,58
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 27,7,2,5
William McCann,U.S. House,2,DEM,Jefferson,Precinct 27,75,12,63
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 27,1,0,1
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 27,74,13,61
Arne Moltis,Governor,,DEM,Jefferson,Precinct 27,17,3,14
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 27,76,12,64
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 27,72,12,60
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 27,74,13,61
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 27,5,0,5
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 27,81,14,67
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 27,1,0,1
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 27,4,1,3
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 27,1,1,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 27,73,11,62
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 27,82,15,67
John Reese Maxey,House of Delegates,66,DEM,Jefferson,Precinct 27,76,13,63
Ron Paul,President,,REP,Jefferson,Precinct 27,8,0,8
Newt Gingrich,President,,REP,Jefferson,Precinct 27,1,0,1
Mitt Romney,President,,REP,Jefferson,Precinct 27,54,8,46
Rick Santorum,President,,REP,Jefferson,Precinct 27,12,2,10
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 27,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 27,68,9,59
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 27,1,0,1
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 27,44,6,38
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 27,28,4,24
Ralph William Clark,Governor,,REP,Jefferson,Precinct 27,13,3,10
Bill Maloney,Governor,,REP,Jefferson,Precinct 27,54,5,49
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 27,60,8,52
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 27,63,8,55
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 27,32,3,29
Mike Hall,Treasurer,,REP,Jefferson,Precinct 27,29,5,24
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 27,64,8,56
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 27,62,8,54
Paul Espinosa,House of Delegates,66,REP,Jefferson,Precinct 27,63,8,55
Keith Judd,President,,DEM,Jefferson,Precinct 28,30,7,23
Barack Obama,President,,DEM,Jefferson,Precinct 28,72,14,58
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 28,23,3,20
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 28,93,19,74
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 28,8,2,6
William McCann,U.S. House,2,DEM,Jefferson,Precinct 28,98,17,81
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 28,5,1,4
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 28,104,19,85
Arne Moltis,Governor,,DEM,Jefferson,Precinct 28,10,1,9
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 28,110,22,88
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 28,101,20,81
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 28,101,19,82
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 28,1,0,1
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 28,112,22,90
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 28,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 28,4,0,4
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 28,0,0,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 28,104,20,84
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 28,110,19,91
"Richard ""Rick"" Shuman II",House of Delegates,65,DEM,Jefferson,Precinct 28,26,6,20
Tiffany Lawrence,House of Delegates,65,DEM,Jefferson,Precinct 28,88,16,72
Ron Paul,President,,REP,Jefferson,Precinct 28,12,4,8
Newt Gingrich,President,,REP,Jefferson,Precinct 28,2,0,2
Mitt Romney,President,,REP,Jefferson,Precinct 28,45,8,37
Rick Santorum,President,,REP,Jefferson,Precinct 28,6,1,5
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 28,0,0,0
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 28,52,9,43
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 28,3,1,2
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 28,49,8,41
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 28,14,5,9
Ralph William Clark,Governor,,REP,Jefferson,Precinct 28,8,2,6
Bill Maloney,Governor,,REP,Jefferson,Precinct 28,51,8,43
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 28,50,9,41
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 28,53,9,44
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 28,31,6,25
Mike Hall,Treasurer,,REP,Jefferson,Precinct 28,19,4,15
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 28,56,10,46
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 28,52,10,42
Jill Upson,House of Delegates,65,REP,Jefferson,Precinct 28,53,11,42
Keith Judd,President,,DEM,Jefferson,Precinct 29,15,2,13
Barack Obama,President,,DEM,Jefferson,Precinct 29,50,14,36
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 29,14,2,12
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 29,57,17,40
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 29,14,4,10
William McCann,U.S. House,2,DEM,Jefferson,Precinct 29,46,7,39
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 29,5,4,1
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 29,60,17,43
Arne Moltis,Governor,,DEM,Jefferson,Precinct 29,10,2,8
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 29,56,17,39
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 29,51,16,35
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 29,51,16,35
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 29,2,0,2
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 29,65,16,49
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 29,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 29,4,2,2
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 29,1,1,0
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 29,52,16,36
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 29,58,17,41
John Reese Maxey,House of Delegates,66,DEM,Jefferson,Precinct 29,45,12,33
Ron Paul,President,,REP,Jefferson,Precinct 29,6,0,6
Newt Gingrich,President,,REP,Jefferson,Precinct 29,0,0,0
Mitt Romney,President,,REP,Jefferson,Precinct 29,36,6,30
Rick Santorum,President,,REP,Jefferson,Precinct 29,6,1,5
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 29,1,0,1
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 29,38,3,35
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 29,1,0,1
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 29,35,5,30
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 29,13,1,12
Ralph William Clark,Governor,,REP,Jefferson,Precinct 29,7,1,6
Bill Maloney,Governor,,REP,Jefferson,Precinct 29,38,4,34
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 29,33,3,30
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 29,37,4,33
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 29,19,2,17
Mike Hall,Treasurer,,REP,Jefferson,Precinct 29,16,2,14
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 29,39,5,34
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 29,39,5,34
Paul Espinosa,House of Delegates,66,REP,Jefferson,Precinct 29,39,5,34
Keith Judd,President,,DEM,Jefferson,Precinct 31,24,2,22
Barack Obama,President,,DEM,Jefferson,Precinct 31,139,22,117
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 31,52,7,45
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 31,113,17,96
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 31,15,4,11
William McCann,U.S. House,2,DEM,Jefferson,Precinct 31,122,17,105
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 31,15,1,14
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 31,133,23,110
Arne Moltis,Governor,,DEM,Jefferson,Precinct 31,27,1,26
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 31,143,25,118
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 31,134,21,113
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 31,136,23,113
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 31,6,1,5
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 31,142,23,119
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 31,0,0,0
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 31,15,2,13
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 31,6,0,6
"Darrell V. McGraw, Jr.",Attorney General,,DEM,Jefferson,Precinct 31,135,23,112
Herb Snyder,State Senate,16,DEM,Jefferson,Precinct 31,153,24,129
Stephen Skinner,House of Delegates,67,DEM,Jefferson,Precinct 31,149,24,125
Ron Paul,President,,REP,Jefferson,Precinct 31,21,2,19
Newt Gingrich,President,,REP,Jefferson,Precinct 31,3,0,3
Mitt Romney,President,,REP,Jefferson,Precinct 31,80,20,60
Rick Santorum,President,,REP,Jefferson,Precinct 31,12,0,12
"Charles ""Buddy"" Roemer",President,,REP,Jefferson,Precinct 31,1,0,1
John R. Raese,U.S. Senate,,REP,Jefferson,Precinct 31,95,16,79
Michael Davis,U.S. House,2,REP,Jefferson,Precinct 31,4,1,3
Shelley Moore Capito,U.S. House,2,REP,Jefferson,Precinct 31,84,16,68
Jonathan Miller,U.S. House,2,REP,Jefferson,Precinct 31,25,4,21
Ralph William Clark,Governor,,REP,Jefferson,Precinct 31,17,3,14
Bill Maloney,Governor,,REP,Jefferson,Precinct 31,84,16,68
Brian Savilla,Secretary of State,,REP,Jefferson,Precinct 31,81,14,67
Larry V. Faircloth,Auditor,,REP,Jefferson,Precinct 31,88,16,72
"Stephen R. ""Steve"" Connolly",Treasurer,,REP,Jefferson,Precinct 31,47,11,36
Mike Hall,Treasurer,,REP,Jefferson,Precinct 31,34,4,30
Patrick Morrisey,Attorney General,,REP,Jefferson,Precinct 31,92,17,75
Jim Ruland,State Senate,16,REP,Jefferson,Precinct 31,88,17,71
Elliot Simon,House of Delegates,67,REP,Jefferson,Precinct 31,71,12,59
W. Matthew Harris,House of Delegates,67,REP,Jefferson,Precinct 31,27,8,19
Keith Judd,President,,DEM,Jefferson,Precinct 32,42,4,38
Barack Obama,President,,DEM,Jefferson,Precinct 32,116,19,97
Sheirl Fletcher,U.S. Senate,,DEM,Jefferson,Precinct 32,48,8,40
Joe Manchin III,U.S. Senate,,DEM,Jefferson,Precinct 32,111,17,94
Dugald Brown,U.S. House,2,DEM,Jefferson,Precinct 32,9,3,6
William McCann,U.S. House,2,DEM,Jefferson,Precinct 32,137,19,118
Howard Swint,U.S. House,2,DEM,Jefferson,Precinct 32,7,1,6
Earl Ray Tomblin,Governor,,DEM,Jefferson,Precinct 32,133,21,112
Arne Moltis,Governor,,DEM,Jefferson,Precinct 32,25,4,21
Natalie E. Tennant,Secretary of State,,DEM,Jefferson,Precinct 32,128,20,108
Glen B. Gainer III,Auditor,,DEM,Jefferson,Precinct 32,124,19,105
John D. Perdue,Treasurer,,DEM,Jefferson,Precinct 32,123,19,104
Steve Miller,Commissioner of Agriculture,,DEM,Jefferson,Precinct 32,10,2,8
Bobb Tabb,Commissioner of Agriculture,,DEM,Jefferson,Precinct 32,138,21,117
Joe Messineo,Commissioner of Agriculture,,DEM,Jefferson,Precinct 32,2,0,2
Sally Shepherd,Commissioner of Agriculture,,DEM,Jefferson,Precinct 32,6,1,5
Walt Helmick,Commissioner of Agriculture,,DEM,Jefferson,Precinct 32,3,1,2
