candidate,office,district,party,county,precinct,total votes,election day,early voting
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 46A,1,1,0
John D. Perdue,Governor,,,Berkeley,Precinct 46A,4,1,3
Rick Thompson,Governor,,,Berkeley,Precinct 46A,4,4,0
Arne Moltis,Governor,,,Berkeley,Precinct 46A,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 46A,8,6,2
,Registered Voters ,,R,Berkeley,Precinct 47,600,,
,Registered Voters ,,D,Berkeley,Precinct 47,330,,
,Ballots Cast,,R,Berkeley,Precinct 47,121,90,31
,Ballots Cast,,D,Berkeley,Precinct 47,36,32,4
Bill Maloney,Governor,,,Berkeley,Precinct 47,19,15,4
Ralph William Clark,Governor,,,Berkeley,Precinct 47,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 47,50,39,11
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 47,6,4,2
Clark Barnes,Governor,,,Berkeley,Precinct 47,26,18,8
Cliff Ellis,Governor,,,Berkeley,Precinct 47,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 47,20,14,6
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 47,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 47,19,17,2
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 47,2,2,0
John D. Perdue,Governor,,,Berkeley,Precinct 47,6,5,1
Rick Thompson,Governor,,,Berkeley,Precinct 47,3,3,0
Arne Moltis,Governor,,,Berkeley,Precinct 47,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 47,6,5,1
,Registered Voters ,,R,Berkeley,Precinct 48,517,,
,Registered Voters ,,D,Berkeley,Precinct 48,448,,
,Ballots Cast,,R,Berkeley,Precinct 48,100,87,13
,Ballots Cast,,D,Berkeley,Precinct 48,101,84,17
Bill Maloney,Governor,,,Berkeley,Precinct 48,22,21,1
Ralph William Clark,Governor,,,Berkeley,Precinct 48,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 48,27,25,2
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 48,3,3,0
Clark Barnes,Governor,,,Berkeley,Precinct 48,11,8,3
Cliff Ellis,Governor,,,Berkeley,Precinct 48,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 48,37,30,7
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 48,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 48,41,39,2
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 48,17,9,8
John D. Perdue,Governor,,,Berkeley,Precinct 48,2,1,1
Rick Thompson,Governor,,,Berkeley,Precinct 48,11,5,6
Arne Moltis,Governor,,,Berkeley,Precinct 48,1,1,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 48,28,28,0
,Registered Voters ,,R,Berkeley,Precinct 49,458,,
,Registered Voters ,,D,Berkeley,Precinct 49,393,,
,Ballots Cast,,R,Berkeley,Precinct 49,67,50,17
,Ballots Cast,,D,Berkeley,Precinct 49,63,36,27
Bill Maloney,Governor,,,Berkeley,Precinct 49,10,7,3
Ralph William Clark,Governor,,,Berkeley,Precinct 49,1,0,1
Larry V. Faircloth,Governor,,,Berkeley,Precinct 49,22,15,7
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 49,1,1,0
Clark Barnes,Governor,,,Berkeley,Precinct 49,3,2,1
Cliff Ellis,Governor,,,Berkeley,Precinct 49,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 49,30,25,5
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 49,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 49,22,16,6
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 49,10,7,3
John D. Perdue,Governor,,,Berkeley,Precinct 49,5,2,3
Rick Thompson,Governor,,,Berkeley,Precinct 49,6,5,1
Arne Moltis,Governor,,,Berkeley,Precinct 49,1,1,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 49,19,5,14
,Registered Voters ,,R,Berkeley,Precinct 50,271,,
,Registered Voters ,,D,Berkeley,Precinct 50,176,,
,Ballots Cast,,R,Berkeley,Precinct 50,27,22,5
,Ballots Cast,,D,Berkeley,Precinct 50,24,18,6
Bill Maloney,Governor,,,Berkeley,Precinct 50,10,9,1
Ralph William Clark,Governor,,,Berkeley,Precinct 50,1,1,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 50,3,3,0
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 50,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 50,0,0,0
Cliff Ellis,Governor,,,Berkeley,Precinct 50,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 50,13,9,4
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 50,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 50,16,12,4
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 50,6,4,2
John D. Perdue,Governor,,,Berkeley,Precinct 50,2,2,0
Rick Thompson,Governor,,,Berkeley,Precinct 50,0,0,0
Arne Moltis,Governor,,,Berkeley,Precinct 50,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 50,0,0,0
,Registered Voters ,,R,Berkeley,Precinct 51,310,,0
,Registered Voters ,,D,Berkeley,Precinct 51,213,,
,Ballots Cast,,R,Berkeley,Precinct 51,48,46,2
,Ballots Cast,,D,Berkeley,Precinct 51,28,27,1
Bill Maloney,Governor,,,Berkeley,Precinct 51,12,10,2
Ralph William Clark,Governor,,,Berkeley,Precinct 51,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 51,21,21,0
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 51,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 51,4,4,0
Cliff Ellis,Governor,,,Berkeley,Precinct 51,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 51,7,7,0
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 51,4,4,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 51,9,9,0
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 51,5,5,0
John D. Perdue,Governor,,,Berkeley,Precinct 51,2,2,0
Rick Thompson,Governor,,,Berkeley,Precinct 51,8,7,1
Arne Moltis,Governor,,,Berkeley,Precinct 51,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 51,3,3,0
,Registered Voters ,,R,Berkeley,Precinct 51A,141,,
,Registered Voters ,,D,Berkeley,Precinct 51A,99,,
,Ballots Cast,,R,Berkeley,Precinct 51A,16,15,1
,Ballots Cast,,D,Berkeley,Precinct 51A,14,14,0
Bill Maloney,Governor,,,Berkeley,Precinct 51A,1,1,0
Ralph William Clark,Governor,,,Berkeley,Precinct 51A,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 51A,12,11,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 51A,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 51A,1,1,0
Cliff Ellis,Governor,,,Berkeley,Precinct 51A,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 51A,2,2,0
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 51A,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 51A,10,10,0
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 51A,0,0,0
John D. Perdue,Governor,,,Berkeley,Precinct 51A,0,0,0
Rick Thompson,Governor,,,Berkeley,Precinct 51A,2,2,0
Arne Moltis,Governor,,,Berkeley,Precinct 51A,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 51A,2,2,0
,Registered Voters ,,R,Berkeley,Precinct 52,460,,
,Registered Voters ,,D,Berkeley,Precinct 52,447,,
,Ballots Cast,,R,Berkeley,Precinct 52,52,27,25
,Ballots Cast,,D,Berkeley,Precinct 52,64,32,32
Bill Maloney,Governor,,,Berkeley,Precinct 52,5,3,2
Ralph William Clark,Governor,,,Berkeley,Precinct 52,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 52,17,11,6
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 52,4,1,3
Clark Barnes,Governor,,,Berkeley,Precinct 52,6,5,1
Cliff Ellis,Governor,,,Berkeley,Precinct 52,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 52,19,6,13
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 52,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 52,31,12,19
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 52,5,5,0
John D. Perdue,Governor,,,Berkeley,Precinct 52,2,0,2
Rick Thompson,Governor,,,Berkeley,Precinct 52,5,3,2
Arne Moltis,Governor,,,Berkeley,Precinct 52,1,1,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 52,20,11,9
,Registered Voters ,,R,Berkeley,Precinct 53,405,,
,Registered Voters ,,D,Berkeley,Precinct 53,452,,
,Ballots Cast,,R,Berkeley,Precinct 53,34,29,5
,Ballots Cast,,D,Berkeley,Precinct 53,48,34,14
Bill Maloney,Governor,,,Berkeley,Precinct 53,9,8,1
Ralph William Clark,Governor,,,Berkeley,Precinct 53,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 53,11,8,3
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 53,2,2,0
Clark Barnes,Governor,,,Berkeley,Precinct 53,3,3,0
Cliff Ellis,Governor,,,Berkeley,Precinct 53,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 53,9,8,1
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 53,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 53,25,20,5
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 53,2,2,0
John D. Perdue,Governor,,,Berkeley,Precinct 53,7,4,3
Rick Thompson,Governor,,,Berkeley,Precinct 53,8,7,1
Arne Moltis,Governor,,,Berkeley,Precinct 53,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 53,6,1,5
,Registered Voters ,,R,Berkeley,Precinct 54,402,,
,Registered Voters ,,D,Berkeley,Precinct 54,341,,
,Ballots Cast,,R,Berkeley,Precinct 54,40,29,11
,Ballots Cast,,D,Berkeley,Precinct 54,32,26,6
Bill Maloney,Governor,,,Berkeley,Precinct 54,14,12,2
Ralph William Clark,Governor,,,Berkeley,Precinct 54,1,1,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 54,16,11,5
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 54,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 54,2,1,1
Cliff Ellis,Governor,,,Berkeley,Precinct 54,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 54,5,3,2
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 54,1,1,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 54,11,8,3
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 54,0,0,0
John D. Perdue,Governor,,,Berkeley,Precinct 54,7,5,2
Rick Thompson,Governor,,,Berkeley,Precinct 54,12,12,0
Arne Moltis,Governor,,,Berkeley,Precinct 54,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 54,2,1,1
,Registered Voters ,,R,Berkeley,Precinct 55,149,,
,Registered Voters ,,D,Berkeley,Precinct 55,99,,
,Ballots Cast,,R,Berkeley,Precinct 55,32,25,7
,Ballots Cast,,D,Berkeley,Precinct 55,18,11,7
Bill Maloney,Governor,,,Berkeley,Precinct 55,7,5,2
Ralph William Clark,Governor,,,Berkeley,Precinct 55,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 55,7,6,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 55,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 55,8,6,2
Cliff Ellis,Governor,,,Berkeley,Precinct 55,1,1,0
Betty Ireland,Governor,,,Berkeley,Precinct 55,9,7,2
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 55,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 55,9,6,3
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 55,0,0,0
John D. Perdue,Governor,,,Berkeley,Precinct 55,2,2,0
Rick Thompson,Governor,,,Berkeley,Precinct 55,3,1,2
Arne Moltis,Governor,,,Berkeley,Precinct 55,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 55,3,2,1
,Registered Voters ,,R,Berkeley,Precinct 56,112,,
,Registered Voters ,,D,Berkeley,Precinct 56,204,,
,Ballots Cast,,R,Berkeley,Precinct 56,23,19,4
,Ballots Cast,,D,Berkeley,Precinct 56,26,12,14
Bill Maloney,Governor,,,Berkeley,Precinct 56,8,7,1
Ralph William Clark,Governor,,,Berkeley,Precinct 56,1,1,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 56,10,9,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 56,1,0,1
Clark Barnes,Governor,,,Berkeley,Precinct 56,2,1,1
Cliff Ellis,Governor,,,Berkeley,Precinct 56,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 56,1,1,0
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 56,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 56,11,5,6
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 56,3,3,0
John D. Perdue,Governor,,,Berkeley,Precinct 56,6,2,4
Rick Thompson,Governor,,,Berkeley,Precinct 56,3,2,1
Arne Moltis,Governor,,,Berkeley,Precinct 56,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 56,3,0,3
,Registered Voters ,,R,Berkeley,Precinct 105,269,,
,Registered Voters ,,D,Berkeley,Precinct 105,286,,
,Ballots Cast,,R,Berkeley,Precinct 105,19,18,1
,Ballots Cast,,D,Berkeley,Precinct 105,31,18,13
Bill Maloney,Governor,,,Berkeley,Precinct 105,6,6,0
Ralph William Clark,Governor,,,Berkeley,Precinct 105,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 105,6,5,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 105,2,2,0
Clark Barnes,Governor,,,Berkeley,Precinct 105,0,0,0
Cliff Ellis,Governor,,,Berkeley,Precinct 105,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 105,5,5,0
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 105,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 105,16,8,8
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 105,4,1,3
John D. Perdue,Governor,,,Berkeley,Precinct 105,5,3,2
Rick Thompson,Governor,,,Berkeley,Precinct 105,2,2,0
Arne Moltis,Governor,,,Berkeley,Precinct 105,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 105,4,4,0
,Registered Voters ,,R,Berkeley,Precinct 106,237,,
,Registered Voters ,,D,Berkeley,Precinct 106,228,,
,Ballots Cast,,R,Berkeley,Precinct 106,29,19,10
,Ballots Cast,,D,Berkeley,Precinct 106,31,25,6
Bill Maloney,Governor,,,Berkeley,Precinct 106,9,4,5
Ralph William Clark,Governor,,,Berkeley,Precinct 106,1,1,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 106,12,8,4
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 106,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 106,1,1,0
Cliff Ellis,Governor,,,Berkeley,Precinct 106,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 106,6,5,1
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 106,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 106,17,14,3
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 106,4,3,1
John D. Perdue,Governor,,,Berkeley,Precinct 106,2,1,1
Rick Thompson,Governor,,,Berkeley,Precinct 106,4,4,0
Arne Moltis,Governor,,,Berkeley,Precinct 106,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 106,4,3,1
,Registered Voters ,,R,Berkeley,Precinct 107,300,,
,Registered Voters ,,D,Berkeley,Precinct 107,276,,
,Ballots Cast,,R,Berkeley,Precinct 107,41,30,11
,Ballots Cast,,D,Berkeley,Precinct 107,28,22,6
Bill Maloney,Governor,,,Berkeley,Precinct 107,3,2,1
Ralph William Clark,Governor,,,Berkeley,Precinct 107,1,1,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 107,15,15,0
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 107,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 107,6,4,2
Cliff Ellis,Governor,,,Berkeley,Precinct 107,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 107,16,8,8
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 107,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 107,11,8,3
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 107,0,0,0
John D. Perdue,Governor,,,Berkeley,Precinct 107,7,6,1
Rick Thompson,Governor,,,Berkeley,Precinct 107,4,3,1
Arne Moltis,Governor,,,Berkeley,Precinct 107,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 107,6,5,1
,Registered Voters ,,R,Berkeley,Precinct 110,182,,
,Registered Voters ,,D,Berkeley,Precinct 110,125,,
,Ballots Cast,,R,Berkeley,Precinct 110,25,22,3
,Ballots Cast,,D,Berkeley,Precinct 110,19,13,6
Bill Maloney,Governor,,,Berkeley,Precinct 110,5,4,1
Ralph William Clark,Governor,,,Berkeley,Precinct 110,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 110,13,12,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 110,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 110,2,2,0
Cliff Ellis,Governor,,,Berkeley,Precinct 110,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 110,5,4,1
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 110,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 110,7,6,1
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 110,3,3,0
John D. Perdue,Governor,,,Berkeley,Precinct 110,0,0,0
Rick Thompson,Governor,,,Berkeley,Precinct 110,5,2,3
Arne Moltis,Governor,,,Berkeley,Precinct 110,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 110,4,2,2
,Registered Voters ,,R,Berkeley,Precinct 111,254,,
,Registered Voters ,,D,Berkeley,Precinct 111,182,,
,Ballots Cast,,R,Berkeley,Precinct 111,28,20,8
,Ballots Cast,,D,Berkeley,Precinct 111,22,16,6
Bill Maloney,Governor,,,Berkeley,Precinct 111,9,6,3
Ralph William Clark,Governor,,,Berkeley,Precinct 111,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 111,13,11,2
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 111,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 111,1,1,0
Cliff Ellis,Governor,,,Berkeley,Precinct 111,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 111,5,2,3
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 111,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 111,11,8,3
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 111,1,1,0
John D. Perdue,Governor,,,Berkeley,Precinct 111,4,2,2
Rick Thompson,Governor,,,Berkeley,Precinct 111,2,1,1
Arne Moltis,Governor,,,Berkeley,Precinct 111,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 111,3,3,0
,Registered Voters ,,R,Berkeley,Precinct 112,235,,
,Registered Voters ,,D,Berkeley,Precinct 112,223,,
,Ballots Cast,,R,Berkeley,Precinct 112,25,16,9
,Ballots Cast,,D,Berkeley,Precinct 112,25,19,6
Bill Maloney,Governor,,,Berkeley,Precinct 112,3,1,2
Ralph William Clark,Governor,,,Berkeley,Precinct 112,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 112,12,7,5
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 112,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 112,4,3,1
Cliff Ellis,Governor,,,Berkeley,Precinct 112,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 112,6,5,1
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 112,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 112,11,10,1
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 112,2,1,1
John D. Perdue,Governor,,,Berkeley,Precinct 112,3,0,3
Rick Thompson,Governor,,,Berkeley,Precinct 112,5,4,1
Arne Moltis,Governor,,,Berkeley,Precinct 112,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 112,4,4,0
,Registered Voters ,,R,Berkeley,Precinct 113,140,4,
,Registered Voters ,,D,Berkeley,Precinct 113,120,,
,Ballots Cast,,R,Berkeley,Precinct 113,21,18,3
,Ballots Cast,,D,Berkeley,Precinct 113,18,15,3
Bill Maloney,Governor,,,Berkeley,Precinct 113,3,3,0
Ralph William Clark,Governor,,,Berkeley,Precinct 113,2,2,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 113,7,6,1
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 113,1,1,0
Clark Barnes,Governor,,,Berkeley,Precinct 113,3,2,1
Cliff Ellis,Governor,,,Berkeley,Precinct 113,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 113,5,4,1
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 113,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 113,10,10,0
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 113,1,0,1
John D. Perdue,Governor,,,Berkeley,Precinct 113,1,1,0
Rick Thompson,Governor,,,Berkeley,Precinct 113,3,3,0
Arne Moltis,Governor,,,Berkeley,Precinct 113,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 113,3,1,2
,Registered Voters ,,R,Berkeley,Precinct 114,161,,
,Registered Voters ,,D,Berkeley,Precinct 114,131,,
,Ballots Cast,,R,Berkeley,Precinct 114,8,8,0
,Ballots Cast,,D,Berkeley,Precinct 114,5,4,1
Bill Maloney,Governor,,,Berkeley,Precinct 114,1,1,0
Ralph William Clark,Governor,,,Berkeley,Precinct 114,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 114,3,3,0
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 114,0,0,0
Clark Barnes,Governor,,,Berkeley,Precinct 114,0,0,0
Cliff Ellis,Governor,,,Berkeley,Precinct 114,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 114,4,4,0
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 114,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 114,1,1,0
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 114,0,0,0
John D. Perdue,Governor,,,Berkeley,Precinct 114,1,0,1
Rick Thompson,Governor,,,Berkeley,Precinct 114,2,2,0
Arne Moltis,Governor,,,Berkeley,Precinct 114,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 114,1,1,0
,Registered Voters ,,R,Berkeley,Precinct 115,198,,
,Registered Voters ,,D,Berkeley,Precinct 115,153,,
,Ballots Cast,,R,Berkeley,Precinct 115,22,13,9
,Ballots Cast,,D,Berkeley,Precinct 115,22,18,4
Bill Maloney,Governor,,,Berkeley,Precinct 115,7,4,3
Ralph William Clark,Governor,,,Berkeley,Precinct 115,0,0,0
Larry V. Faircloth,Governor,,,Berkeley,Precinct 115,5,5,0
Mark A. Sorsaia,Governor,,,Berkeley,Precinct 115,3,1,2
Clark Barnes,Governor,,,Berkeley,Precinct 115,1,1,0
Cliff Ellis,Governor,,,Berkeley,Precinct 115,0,0,0
Betty Ireland,Governor,,,Berkeley,Precinct 115,5,1,4
Mitch B. Carmichael,Governor,,,Berkeley,Precinct 115,0,0,0
Earl Ray Tomblin,Governor,,,Berkeley,Precinct 115,6,6,0
Jeffrey V. Kessler,Governor,,,Berkeley,Precinct 115,1,0,1
John D. Perdue,Governor,,,Berkeley,Precinct 115,4,2,2
Rick Thompson,Governor,,,Berkeley,Precinct 115,4,4,0
Arne Moltis,Governor,,,Berkeley,Precinct 115,0,0,0
Natalie E. Tennant ,Governor,,,Berkeley,Precinct 115,7,6,1
